"Tanggal Transaksi","Keterangan","Cabang","Jumlah","Saldo"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB0741907 0013000 ","0998","10,800.00 CR","508,971,205.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB0744201 8013000 ","0998","2,700.00 CR","508,973,905.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB0744702 9013000 ","0998","2,700.00 CR","508,976,605.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB1313400 3013000 ","0998","2,700.00 CR","508,979,305.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB1314000 6013000 ","0998","2,700.00 CR","508,982,005.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB3501700 9013000 ","0998","2,700.00 CR","508,984,705.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB4764500 8013000 ","0998","2,700.00 CR","508,987,405.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5337001 3013000 ","0998","2,700.00 CR","508,990,105.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5337604 3013000 ","0998","2,700.00 CR","508,992,805.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5338504 0013000 ","0998","2,700.00 CR","508,995,505.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5339402 0013000 ","0998","2,700.00 CR","508,998,205.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5339501 8013000 ","0998","2,700.00 CR","509,000,905.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210129EPB5339901 9013000 ","0998","2,700.00 CR","509,003,605.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0742401 9013000 ","0998","2,700.00 CR","509,006,305.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0742801 0013000 ","0998","2,700.00 CR","509,009,005.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0744300 8013000 ","0998","2,700.00 CR","509,011,705.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0744901 2013000 ","0998","5,400.00 CR","509,017,105.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB1314401 5013000 ","0998","2,700.00 CR","509,019,805.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5336000 5013000 ","0998","5,400.00 CR","509,025,205.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5336601 6013000 ","0998","5,400.00 CR","509,030,605.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5337200 1013000 ","0998","13,500.00 CR","509,044,105.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5337604 4013000 ","0998","13,500.00 CR","509,057,605.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5337801 9013000 ","0998","5,400.00 CR","509,063,005.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5338504 1013000 ","0998","2,700.00 CR","509,065,705.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB5339501 9013000 ","0998","5,400.00 CR","509,071,105.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0742201 4013000 ","0998","2,700.00 CR","509,073,805.65"
"01/02","KR OTOMATIS 31/01/2021 16:05 FLAZZ 885000750597 TRANSJOGJA-HO 20210130EPB0743101 1013000 ","0998","2,700.00 CR","509,076,505.65"
