No.;Post Date;Branch;Journal No.;Description;Amount;Db/Cr;Balance
1;03/08/2020 19.02.24;DIVISI BISNIS KARTU;600408;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 01082020 0 5031208 YOGYA TRANS;2700.00.00;C;36285424.00
2;03/08/2020 19.02.25;DIVISI BISNIS KARTU;600461;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 01082020 1 5031208 YOGYA TRANS;2700.00.00;C;36288124.00
3;03/08/2020 19.02.25;DIVISI BISNIS KARTU;600463;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 01082020 6 5031208 YOGYA TRANS;2700.00.00;C;36290824.00
4;03/08/2020 19.02.26;DIVISI BISNIS KARTU;600813;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 02082020 7 5031208 YOGYA TRANS;2700.00.00;C;36293524.00
5;03/08/2020 19.02.26;DIVISI BISNIS KARTU;600847;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 02082020 0 5031208 YOGYA TRANS;2700.00.00;C;36296224.00
6;03/08/2020 19.02.37;DIVISI BISNIS KARTU;604660;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 29072020 6 5031208 YOGYA TRANS;2700.00.00;C;36298924.00
7;03/08/2020 19.02.37;DIVISI BISNIS KARTU;604666;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 29072020 1 5031208 YOGYA TRANS;2700.00.00;C;36301624.00
8;03/08/2020 19.02.37;DIVISI BISNIS KARTU;604738;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 29072020 7 5031208 YOGYA TRANS;2700.00.00;C;36304324.00
9;03/08/2020 19.02.37;DIVISI BISNIS KARTU;604795;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 30072020 1 5031208 YOGYA TRANS;8100.00.00;C;36312424.00
10;03/08/2020 19.02.37;DIVISI BISNIS KARTU;604831;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 4514510033 30072020 7 5031208 YOGYA TRANS;5400.00.00;C;36317824.00
