tanggal;transaksi;debet;kredit;Saldo
18/02/20;000001999090930 10292112 130220 01 00001;;2.700.00;790.700.00
18/02/20;000001999090930 10292115 130220 02 00001;;2.700.00;793.400.00
18/02/20;000001999090930 10292117 130220 02 00001;;2.700.00;796.100.00
18/02/20;000001999091323 10292269 130220 02 00001;;2.700.00;798.800.00
18/02/20;000001999091323 10292271 130220 02 00001;;2.700.00;801.500.00
18/02/20;000001999091322 10292268 130220 02 00001;;2.700.00;804.200.00
18/02/20;000001999091328 10292307 130220 02 00001;;2.700.00;806.900.00
18/02/20;000001999090930 10292122 130220 01 00001;;2.700.00;809.600.00
18/02/20;000001999091329 10292313 130220 02 00004;;10.800.00;820.400.00
18/02/20;000001999091320 10292247 130220 02 00002;;5.400.00;825.800.00
18/02/20;000001999090930 10292118 130220 02 00001;;2.700.00;828.500.00
18/02/20;000001999090930 10292120 130220 02 00001;;2.700.00;831.200.00
18/02/20;000001999091328 10292305 130220 02 00001;;2.700.00;833.900.00
18/02/20;000001999091320 10292248 130220 02 00001;;2.700.00;836.600.00
18/02/20;000001999090930 10292111 130220 02 00001;;2.700.00;839.300.00
18/02/20;000001999091328 10292306 130220 02 00001;;2.700.00;842.000.00
18/02/20;000001999091335 10292324 130220 02 00001;;2.700.00;844.700.00
18/02/20;000001999090930 10292119 140220 02 00001;;2.700.00;847.400.00
18/02/20;000001999090930 10292105 140220 02 00001;;2.700.00;850.100.00
18/02/20;000001999090930 10292107 140220 02 00004;;10.800.00;860.900.00
18/02/20;000001999090930 10292100 140220 02 00001;;2.700.00;863.600.00
18/02/20;000001999090930 10292113 140220 02 00001;;2.700.00;866.300.00
18/02/20;000001999090930 10292105 140220 01 00009;;24.300.00;890.600.00
